Index,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),L/B,Year,Journal,Database,DOI,bins
196,C=CC1=CC=CC=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,1000.0,0.7,-0.629731418,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,40
199,C=CC1=CC=CC=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,40.0,1.0,24.0,10.0,1000.0,0.7,-0.720159303,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,36
200,C=CC1=CC=CC=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,COCCOC,318.15,20.0,1.0,24.0,10.0,1000.0,0.7,-0.720159303,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,36
201,C=CC1=CC=CC=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C(Cl)(Cl),318.15,20.0,1.0,24.0,10.0,1000.0,0.7,-0.753327667,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,35
204,C=CC1=CC=CC=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,CO,318.15,20.0,1.0,24.0,10.0,1000.0,0.7,-0.753327667,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,35
206,C=CC1=CC=CC=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,2000.0,1.0,-0.720159303,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,36
208,C=CC1=C(C)C=CC=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,1000.0,1.4,-0.212608093,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,50
209,C=CC1=CC=C(CC(C)C)C=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,1000.0,1.4,-0.658541347,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,39
210,C=CC1=CC=C(Cl)C=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,1000.0,1.4,-0.865301426,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,30
211,C=CC1=CC=C(F)C=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,1000.0,1.4,-0.720159303,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,36
212,C=CC1=C(F)C=CC=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,1000.0,1.4,-1.06069784,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,23
213,C=CC1=CC=C(C(F)(F)(F))C=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,1000.0,1.4,-1.123384909,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,20
215,C=CC1=CC2=C(C=CC=C2)C=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,1000.0,1.4,-0.907997321,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,29
216,C=CC1=CC2=C(C=CC=C2)C=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,1000.0,0.7,-0.865301426,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,30
217,C=CC1=CC2=C(C=C1)C=C(OC)C=C2,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,1000.0,1.4,-0.788370416,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,33
219,C=CC1=CC=CC2=C1C=CC=C2,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20.0,1.0,24.0,10.0,1000.0,1.4,-0.347487397,2014,Advanced Synthesis & Catalysis,wiley,10.1002/adsc.201400657,47
220,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,60.0,1.0,24.0,8.0,2000.0,0.25,-1.133538908,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,20
221,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,C(Cl)Cl,333.15,60.0,1.0,24.0,8.0,2000.0,0.25,-1.146128036,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,19
223,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC(C)=O,333.15,60.0,1.0,24.0,8.0,2000.0,0.25,-1.025305865,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,24
224,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,298.15,60.0,1.0,24.0,8.0,2000.0,0.25,-1.264817823,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,16
225,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,318.15,60.0,1.0,24.0,8.0,2000.0,0.25,-1.193124598,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,18
226,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,353.15,60.0,1.0,24.0,8.0,2000.0,0.25,-1.423245874,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,10
228,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,20.0,1.0,24.0,8.0,2000.0,0.25,-1.033423755,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,24
229,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,40.0,1.0,24.0,8.0,2000.0,0.25,-1.100370545,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,22
230,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,80.0,1.0,24.0,8.0,2000.0,0.25,-1.161368002,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,19
231,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,40.0,1.0,24.0,4.0,2000.0,0.25,-1.204119983,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,17
233,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,40.0,1.0,2.0,4.0,2000.0,0.25,-1.838849091,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,2
234,C=CC1=CC=CC=C1,Rh,FC(F)(F)C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.FC(F)(F)C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],FC(F)(F)C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,313.15,40.0,1.0,24.0,8.0,2000.0,0.25,-1.075546961,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,23
235,C=CC1=CC=CC=C1,Rh,FC1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.FC1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],FC1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,313.15,40.0,1.0,24.0,8.0,2000.0,0.25,-1.152288344,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,19
238,C=CC1=CC=CC=C1,Rh,COC1=CC=CC=C1P->%161CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.COC1=CC=CC=C1P->%171CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.[RhH]%16%17%18.[C-]->%18#[O+],COC1=CC=CC=C1P1CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1,CC1=CC=CC=C1,313.15,40.0,1.0,24.0,8.0,2000.0,0.25,-1.064457989,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,23
239,C=CC1=CC=CC=C1,Rh,N(C)(C)C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.N(C)(C)C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],N(C)(C)C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,313.15,40.0,1.0,24.0,8.0,2000.0,0.25,-1.33243846,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,12
241,C=CC1=CC=CC=C1,Rh,CC(C)(C)P->%161CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.CC(C)(C)P->%171CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.[RhH]%16%17%18.[C-]->%18#[O+],CC(C)(C)P1CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1,CC1=CC=CC=C1,313.15,40.0,1.0,24.0,8.0,2000.0,0.25,-0.77815125,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,34
242,C=CC1=CC=CC=C1,Rh,C1=CC=C(N2C=CC=C2P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(N2C=CC=C2P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(N2C=CC=C2P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,313.15,40.0,1.0,24.0,8.0,2000.0,0.25,-1.021189299,2008,Journal of Molecular Catalysis A: Chemical,Elsevier,10.1016/j.molcata.2007.10.023,24
